41:	101001
17:	10001
34:	100010
0:	
19:	10011
24:	11000
28:	11100
8:	1000
12:	1100
14:	1110
5:	101
45:	101101
31:	11111
27:	11011
11:	1011
41:	101001
45:	101101
42:	101010
27:	11011
36:	100100
41:	101001
4:	100
2:	10
3:	11
42:	101010
32:	100000
21:	10101
16:	10000
18:	10010
45:	101101
47:	101111
26:	11010
21:	10101
38:	100110
19:	10011
12:	1100
17:	10001
49:	110001
35:	100011
44:	101100
3:	11
11:	1011
22:	10110
33:	100001
23:	10111
14:	1110
41:	101001
11:	1011
3:	11
18:	10010
47:	101111
44:	101100
12:	1100
7:	111
37:	100101
9:	1001
23:	10111
41:	101001
29:	11101
28:	11100
16:	10000
35:	100011
40:	101000
42:	101010
38:	100110
6:	110
40:	101000
42:	101010
14:	1110
48:	110000
46:	101110
5:	101
40:	101000
29:	11101
20:	10100
0:	
6:	110
1:	1
43:	101011
48:	110000
29:	11101
23:	10111
34:	100010
4:	100
6:	110
40:	101000
16:	10000
26:	11010
31:	11111
8:	1000
44:	101100
39:	100111
26:	11010
23:	10111
37:	100101
38:	100110
18:	10010
32:	100000
29:	11101
41:	101001
33:	100001
15:	1111
39:	100111
8:	1000
4:	100
30:	11110
27:	11011
6:	110
23:	10111
36:	100100
21:	10101
45:	101101
24:	11000
22:	10110
20:	10100
29:	11101
27:	11011
23:	10111
47:	101111
12:	1100
36:	100100
40:	101000
11:	1011
36:	100100
5:	101
17:	10001
5:	101
24:	11000
31:	11111
2:	10
0:	
0:	
41:	101001
24:	11000
16:	10000
30:	11110
7:	111
41:	101001
7:	111
37:	100101
7:	111
37:	100101
3:	11
33:	100001
45:	101101
9:	1001
9:	1001
8:	1000
21:	10101
38:	100110
22:	10110
46:	101110
6:	110
30:	11110
13:	1101
18:	10010
0:	
41:	101001
12:	1100
5:	101
10:	1010
9:	1001
24:	11000
37:	100101
48:	110000
33:	100001
45:	101101
41:	101001
2:	10
0:	
41:	101001
36:	100100
24:	11000
20:	10100
46:	101110
21:	10101
48:	110000
49:	110001
18:	10010
34:	100010
31:	11111
34:	100010
3:	11
49:	110001
18:	10010
38:	100110
0:	
38:	100110
27:	11011
17:	10001
0:	
